station,2022.0,2023.0,2024.0,2025.0
bapuji nagar,,18.55072463768116,14.285714285714285,2.380952380952381
btm layout,,0.8333333333333334,0.32573289902280134,1.3888888888888888
bwssb kadabesanahalli,1.282051282051282,,,29.166666666666668
city railway station,,,,
deshpande nagar,,11.627906976744185,11.737089201877934,0.0
hebbal,,5.740181268882175,7.479224376731302,10.48951048951049
hebbal 1st stage,,0.0,0.0,0.0
hombegowda nagar,,1.1299435028248588,1.366120218579235,4.166666666666666
jayanagar 5th block,,9.826589595375722,13.019390581717452,7.042253521126761
jigani,,3.8461538461538463,7.894736842105263,20.833333333333336
kadri,,11.813186813186812,1.1019283746556474,5.0359712230215825
kasturi nagar,,5.511811023622047,17.183098591549296,1.4814814814814816
lal bahadur shastri nagar,,17.613636363636363,4.166666666666666,0.0
lingaraj nagar,,5.763688760806916,0.0,0.0
peenya,,4.697986577181208,0.5797101449275363,0.0
ramteerth nagar,,10.584958217270195,0.8771929824561403,0.0
rvce-mailasandra,,22.424242424242426,17.98780487804878,3.149606299212598
sanegurava halli,,,,
shivapura peenya,,4.934210526315789,2.535211267605634,9.917355371900827
silk board,,7.282913165266107,3.551912568306011,1.4184397163120568
thimmalapura,,14.65798045602606,11.343283582089553,13.253012048192772
vinoba nagara,,0.0,0.0,0.0
