date,pm25,pm10,no2,so2,co,o3,nh3,temp,humidity,wind_speed,wind_dir,rainfall,station,city,provider
2023-01-01,60.19488095238096,119.95285714285714,26.702321428571427,31.189345238095235,0.913452380952381,19.076666666666664,12.790892857142856,26.105416666666667,22.12547619047619,0.336969696969697,142.58380952380952,,ramteerth nagar,belgaum,kspcb
2023-01-02,82.41825,206.385125,54.786625,31.17375,0.9015416666666668,19.7015,14.923624999999998,27.173333333333336,26.7845,0.5585964912280702,176.6653333333333,,ramteerth nagar,belgaum,kspcb
2023-01-03,76.13041666666666,169.36479166666666,33.8965625,30.828437500000003,0.9073958333333332,18.659583333333337,13.853958333333331,26.31701388888889,22.246354166666663,0.5825757575757575,197.20989583333335,,ramteerth nagar,belgaum,kspcb
2023-01-04,77.92937500000001,188.76135416666668,41.864687499999995,30.6690625,0.9102083333333332,18.904791666666668,13.573020833333333,26.002604166666668,22.40416666666667,0.6230681818181818,178.9240625,,ramteerth nagar,belgaum,kspcb
2023-01-05,54.940416666666664,161.13041666666666,34.73569444444444,30.34625,0.9147916666666666,18.947777777777777,12.157083333333333,25.9309375,25.412604166666668,0.8753125,241.19416666666663,,ramteerth nagar,belgaum,kspcb
2023-01-06,58.943472222222226,153.48145833333334,31.537673611111114,30.02541666666667,0.914375,18.078819444444445,12.52,26.09170138888889,34.42947916666667,0.8724275362318841,236.45006944444444,,ramteerth nagar,belgaum,kspcb
2023-01-07,88.11059027777777,179.9190625,32.7590625,29.532777777777778,0.9026388888888888,16.983888888888888,12.617291666666668,25.79958333333333,20.34736111111111,1.0370833333333334,228.6258333333333,,ramteerth nagar,belgaum,kspcb
2023-01-08,90.81416666666668,169.593125,34.8221875,29.989166666666662,0.904375,19.43420138888889,13.259166666666664,25.37375,13.40088888888889,0.7768181818181819,191.49652777777777,,ramteerth nagar,belgaum,kspcb
2023-01-09,66.1725,150.25791666666666,36.997638888888886,30.25597222222222,0.9020833333333332,23.367916666666662,11.836944444444445,24.69,45.81736111111112,0.9447685185185186,167.96319444444444,,ramteerth nagar,belgaum,kspcb
2023-01-10,64.22222222222221,210.03916666666663,55.70827777777778,31.108,0.92,24.59711111111111,11.894333333333332,27.604388888888888,57.73255555555556,1.1514285714285717,200.11694444444444,,ramteerth nagar,belgaum,kspcb
2023-01-11,76.52736111111112,194.15885416666663,54.36385416666667,30.519201388888888,0.9069444444444444,23.2759375,13.319652777777778,26.003263888888892,45.588993055555555,0.6004347826086956,168.6651736111111,,ramteerth nagar,belgaum,kspcb
2023-01-12,90.11416666666666,189.41885416666665,44.65763888888889,31.2396875,0.8908680555555555,22.07670138888889,15.06951388888889,26.22513888888889,41.09180555555556,0.4623809523809524,170.3723611111111,,ramteerth nagar,belgaum,kspcb
2023-01-13,95.89038194444446,224.3628125,46.095104166666665,31.740625,0.8873958333333333,22.53152777777778,15.196805555555557,25.68048611111111,40.76371527777778,0.4850833333333333,150.84861111111113,,ramteerth nagar,belgaum,kspcb
2023-01-14,78.4384375,200.06270833333335,42.42204861111111,31.489930555555556,0.8976041666666666,21.355833333333333,13.99065972222222,26.10666666666667,70.14166666666667,0.4549999999999999,179.29166666666666,,ramteerth nagar,belgaum,kspcb
2023-01-15,72.40440972222223,177.0822916666667,29.08020833333333,31.018715277777776,0.909236111111111,19.22190972222222,13.00201388888889,26.16513888888889,48.80712121212121,0.4223863636363636,181.5820138888889,,ramteerth nagar,belgaum,kspcb
2023-01-16,79.75572916666667,200.70010416666665,35.92180555555556,30.453125,0.8982291666666667,19.152291666666667,14.645486111111111,26.63611111111111,41.4545,0.4770588235294117,171.48083333333332,,ramteerth nagar,belgaum,kspcb
2023-01-17,83.40916666666668,192.1153125,31.15760416666667,31.46739583333333,0.8914583333333334,18.61583333333333,15.364895833333334,26.52027777777778,24.767430555555553,0.5504166666666667,183.78100694444444,,ramteerth nagar,belgaum,kspcb
